ticker,date,open,close,high,low,sma_10,sma_20,ema_10,ema_20
AVGO,2018-01-31,259.7699890136719,248.02999877929688,274.260009765625,237.0099945068359,,,,
AVGO,2018-02-28,241.72000122070312,246.4600067138672,255.7400054931641,224.8999938964844,,,,
AVGO,2018-03-31,245.8600006103516,235.6499938964844,273.8500061035156,234.7599945068359,,,,
AVGO,2018-04-30,233.9499969482422,229.4199981689453,252.8500061035156,225.44000244140625,,,,
AVGO,2018-05-31,230.8500061035156,252.07000732421875,255.2899932861328,221.97999572753903,,,,
AVGO,2018-06-30,254.3699951171875,242.63999938964844,271.8099975585937,242.27000427246097,,,,
AVGO,2018-07-31,240.08999633789065,221.77000427246097,251.8000030517578,197.4600067138672,,,,
AVGO,2018-08-31,223.2599945068359,219.02999877929688,223.94000244140625,202.77000427246097,,,,
AVGO,2018-09-30,218.58999633789065,246.72999572753903,250.1000061035156,213.9199981689453,,,,
AVGO,2018-10-31,247.8800048828125,223.4900054931641,252.13999938964844,208.22999572753903,236.52900085449218,,234.1582744251598,
AVGO,2018-11-30,225.16000366210932,237.41000366210932,242.6199951171875,213.7100067138672,235.46700134277344,,234.749497922787,
AVGO,2018-12-31,245.1999969482422,254.27999877929688,261.5899963378906,217.6100006103516,236.2490005493164,,238.30049807851606,
AVGO,2019-01-31,248.8500061035156,268.25,273.75,230.3300018310547,239.50900115966797,,243.7458620642404,
AVGO,2019-02-28,269.1499938964844,275.3599853515625,286.6300048828125,264.8900146484375,244.10299987792968,,249.49388448011715,
AVGO,2019-03-31,277.7300109863281,300.7099914550781,303.29998779296875,259.20001220703125,248.9669982910156,,258.80590393011005,
AVGO,2019-04-30,303.1099853515625,318.3999938964844,322.45001220703125,299.75,256.5429977416992,,269.64119301490535,
AVGO,2019-05-31,320.5,251.63999938964844,323.20001220703125,250.08999633789065,259.52999725341795,,266.3682487194041,
AVGO,2019-06-30,252.5500030517578,287.8599853515625,291.75,251.1999969482422,266.41299591064455,,270.2758371979784,
AVGO,2019-07-31,301.67999267578125,289.989990234375,305.75,272.4100036621094,270.73899536132814,,273.8602286591414,
AVGO,2019-08-31,289.1300048828125,282.6400146484375,297.82000732421875,262.5,276.6539962768555,256.5914985656738,275.45655338446795,259.0723096211751
AVGO,2019-09-30,280.0,276.07000732421875,302.3299865722656,270.0,280.5199966430664,257.9934989929199,275.56809046442265,260.69113797384597
AVGO,2019-10-31,278.2699890136719,292.8500061035156,294.0799865722656,267.2200012207031,284.37699737548826,260.31299896240233,278.71025694425776,263.7538873195288
AVGO,2019-11-30,292.989990234375,316.2099914550781,325.6700134277344,292.0899963378906,289.1729965209961,264.340998840332,285.52839049167966,268.7497067610097
AVGO,2019-12-31,317.7200012207031,316.0199890136719,331.20001220703125,303.1300048828125,293.238996887207,268.67099838256837,291.07231749567825,273.2516384041204
